capital,university,venture,enterprise,accelerator,procurement_before,timedelta,procurement_after,energy_and_semiconductor,finance,ecology,bio,computer,service
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0
0.0,0.0,0.0,1.0,1.0,0.0,92.0,0.0,0,0,0,0,1,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1
0.0,1.0,1.0,0.0,1.0,0.0,360.0,0.0,0,0,0,1,0,0
500000.0,0.0,1.0,0.0,0.0,1182000.0,0.0,0.0,0,0,0,0,0,1
10000.0,0.0,0.0,1.0,0.0,224200.0,0.0,120000.0,0,0,0,0,1,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0
240.0,0.0,0.0,1.0,0.0,17660.0,0.0,60660.0,0,0,0,1,0,0
3000.0,1.0,0.0,0.0,0.0,13050.0,0.0,0.0,0,0,0,0,1,0
3000.0,0.0,1.0,0.0,1.0,10000.0,359.0,40026.0,0,0,0,0,0,1
1000.0,0.0,0.0,1.0,0.0,1000.0,0.0,0.0,1,0,0,0,0,0
1000.0,0.0,1.0,0.0,1.0,9324.0,513.0,46417.0,0,0,0,0,0,1
10000.0,0.0,0.0,1.0,1.0,76000.0,101.0,0.0,0,0,0,0,1,0
2000.0,0.0,0.0,1.0,0.0,118213.0,0.0,100200.0,0,0,0,0,0,1
11500.0,1.0,0.0,0.0,0.0,417900.0,0.0,0.0,0,0,0,1,0,0
10000.0,0.0,1.0,0.0,0.0,10000.0,0.0,0.0,0,0,0,0,0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0
10300.0,0.0,0.0,0.0,0.0,10300.0,0.0,0.0,0,0,0,0,0,1
10.0,0.0,0.0,1.0,1.0,40010.0,688.0,100264.0,0,0,0,0,0,1
9000.0,0.0,1.0,0.0,0.0,31300.0,0.0,0.0,0,0,0,0,1,0
5000.0,0.0,1.0,0.0,0.0,9000.0,0.0,20000.0,0,0,0,0,0,1
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0
5000.0,0.0,0.0,1.0,1.0,5000.0,365.0,100000.0,0,1,0,0,0,0
1000.0,0.0,0.0,1.0,1.0,1000.0,1370.0,80000.0,0,0,0,0,1,0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0
4000.0,0.0,1.0,0.0,1.0,14000.0,196.0,49800.0,0,0,0,0,1,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1
10000.0,0.0,1.0,0.0,0.0,10000.0,0.0,0.0,1,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1
0.0,0.0,0.0,0.0,0.0,30000.0,0.0,0.0,0,0,0,0,0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0
5000.0,0.0,0.0,0.0,0.0,5000.0,0.0,0.0,0,0,0,0,1,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1
5000.0,0.0,0.0,0.0,0.0,5000.0,0.0,0.0,0,0,0,0,0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,1
1550.0,0.0,0.0,0.0,0.0,1550.0,0.0,0.0,0,0,0,0,0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0
3000.0,0.0,0.0,0.0,0.0,3000.0,0.0,0.0,0,0,0,1,0,0
0.0,0.0,0.0,0.0,0.0,1157.0,0.0,0.0,0,0,0,0,0,1
1000.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0,0,0,0,1,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1
5000.0,1.0,0.0,0.0,1.0,35400.0,260.0,130000.0,0,0,0,1,0,0
3070.0,1.0,0.0,1.0,1.0,5770.0,179.0,100990.0,0,0,0,0,1,0
8000.0,0.0,0.0,1.0,0.0,26000.0,0.0,95000.0,0,0,0,1,0,0
3000.0,0.0,1.0,0.0,1.0,3000.0,80.0,32993.0,0,0,0,0,1,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1
10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1
10000.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0,0,0,0,0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1
3000.0,0.0,0.0,1.0,1.0,3000.0,2.0,15000.0,0,0,0,0,1,0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0
5000.0,0.0,1.0,0.0,0.0,5000.0,0.0,60000.0,0,0,0,0,1,0
100.0,0.0,1.0,0.0,1.0,100.0,388.0,60954.0,0,0,0,1,0,0
100.0,0.0,1.0,0.0,1.0,7600.0,749.0,49948.0,1,0,0,0,0,0
2000.0,0.0,1.0,0.0,1.0,392200.0,703.0,227600.0,0,0,0,0,1,0
1000.0,0.0,0.0,1.0,0.0,737880.0,0.0,2549409.0,0,1,0,0,0,0
2000.0,0.0,0.0,0.0,1.0,2000.0,79.0,1491.0,0,0,0,1,0,0
4500.0,0.0,0.0,0.0,0.0,5000.0,0.0,203000.0,0,0,0,0,0,1
0.0,0.0,1.0,0.0,0.0,5000.0,0.0,0.0,0,0,0,0,0,1
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1
1000.0,0.0,0.0,1.0,1.0,1000.0,59.0,20000.0,0,0,0,0,1,0
10000.0,0.0,0.0,1.0,1.0,10000.0,49.0,60000.0,0,0,0,0,1,0
1000.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0,0,0,0,0,1
3000.0,0.0,1.0,0.0,0.0,57960.0,0.0,62375.0,0,0,0,1,0,0
1000.0,0.0,0.0,1.0,0.0,15500.0,0.0,0.0,0,0,0,0,1,0
1000.0,0.0,1.0,0.0,1.0,1000.0,348.0,0.0,0,0,0,0,1,0
1000.0,0.0,0.0,1.0,0.0,1000.0,0.0,1090431.0,0,0,0,1,0,0
30.0,1.0,0.0,0.0,0.0,2000.0,0.0,49500.0,1,0,0,0,0,0
200.0,0.0,1.0,0.0,1.0,57703.0,331.0,0.0,0,0,0,0,1,0
0.0,0.0,1.0,0.0,0.0,145220.0,0.0,889700.0,0,0,0,0,1,0
0.0,0.0,0.0,0.0,1.0,0.0,1013.0,0.0,0,0,0,0,1,0
1000.0,0.0,0.0,0.0,1.0,41400.0,294.0,30115.0,1,0,0,0,0,0
300.0,0.0,1.0,0.0,1.0,34050.0,543.0,1500765.0,0,0,0,0,1,0
5000.0,0.0,0.0,1.0,0.0,5000.0,0.0,100000.0,0,0,0,0,1,0
5000.0,0.0,1.0,0.0,1.0,219990.0,1034.0,998799.0,0,0,0,0,1,0
3000.0,0.0,1.0,0.0,1.0,6000.0,974.0,7000.0,0,0,0,0,1,0
1000.0,0.0,0.0,1.0,0.0,861420.0,0.0,0.0,1,0,0,0,0,0
3200.0,0.0,0.0,1.0,0.0,18200.0,0.0,0.0,0,0,0,0,0,1
33000.0,0.0,0.0,1.0,0.0,599500.0,0.0,0.0,1,0,0,0,0,0
5000.0,0.0,0.0,1.0,0.0,5000.0,0.0,0.0,0,0,0,0,1,0
1000.0,0.0,0.0,1.0,0.0,141000.0,0.0,33600.0,0,1,0,0,0,0
6000.0,0.0,0.0,1.0,0.0,54000.0,0.0,0.0,0,0,0,0,0,1
100.0,1.0,1.0,0.0,0.0,110100.0,0.0,744900.0,0,0,0,1,0,0
1000.0,1.0,0.0,0.0,1.0,675711.0,936.0,0.0,0,0,0,1,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0
1100.0,1.0,0.0,0.0,0.0,130800.0,0.0,35100.0,0,0,0,1,0,0
5010.0,1.0,0.0,1.0,1.0,10020.0,1008.0,0.0,0,0,0,1,0,0
10000.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0
1500.0,0.0,1.0,0.0,1.0,31582.0,488.0,4000.0,0,0,0,0,1,0
1000.0,0.0,0.0,0.0,0.0,26200.0,0.0,70740.0,0,0,0,0,1,0
3580.0,0.0,0.0,1.0,0.0,3580.0,0.0,0.0,0,0,0,0,0,1
2000.0,0.0,0.0,1.0,0.0,2000.0,0.0,0.0,0,0,0,0,0,1
0.0,0.0,1.0,0.0,1.0,200000.0,931.0,0.0,0,1,0,0,0,0
1000.0,0.0,1.0,0.0,0.0,1000.0,0.0,0.0,0,0,0,0,0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1
5000.0,0.0,0.0,1.0,1.0,111000.0,597.0,0.0,0,0,0,0,0,1
2000.0,0.0,0.0,1.0,1.0,2000.0,153.0,20000.0,0,0,0,0,0,1
1000.0,0.0,0.0,1.0,1.0,1000.0,1403.0,0.0,0,0,0,0,1,0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1
10000.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0,0,1,0,0,0
1500.0,0.0,0.0,1.0,1.0,13000.0,1009.0,0.0,0,0,0,0,1,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1
1000.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0
2000.0,0.0,0.0,1.0,1.0,2000.0,633.0,60000.0,0,0,0,0,1,0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1
2000.0,0.0,1.0,0.0,0.0,341998.0,0.0,650001.0,0,0,0,0,0,1
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0
1000.0,0.0,1.0,0.0,0.0,63000.0,769.0,375000.0,0,0,0,0,0,1
0.0,0.0,1.0,0.0,1.0,0.0,138.0,410000.0,0,0,0,0,1,0
5000.0,1.0,0.0,0.0,0.0,82000.0,0.0,0.0,1,0,0,0,0,0
0.0,0.0,0.0,0.0,1.0,0.0,973.0,0.0,0,0,0,0,0,1
1000.0,1.0,1.0,0.0,0.0,32500.0,0.0,84350.0,0,0,0,0,1,0
3000.0,0.0,0.0,0.0,1.0,191840.0,1105.0,0.0,0,0,0,0,1,0
2000.0,0.0,0.0,1.0,0.0,9000.0,0.0,0.0,0,0,0,0,0,1
10.0,1.0,1.0,0.0,0.0,80273.0,0.0,574145.0,0,0,0,0,0,1
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0
7000.0,1.0,0.0,1.0,1.0,458796.0,906.0,273218.0,0,0,0,1,0,0
1000.0,0.0,0.0,1.0,0.0,1000.0,0.0,0.0,0,0,0,0,0,1
10000.0,0.0,0.0,1.0,0.0,14600.0,0.0,3525.0,0,0,0,0,1,0
1000.0,0.0,0.0,0.0,0.0,2685405.0,0.0,977490.0,1,0,0,0,0,0
5000.0,0.0,0.0,1.0,1.0,5000.0,1334.0,0.0,0,0,0,0,1,0
9000.0,0.0,0.0,1.0,0.0,9000.0,0.0,0.0,0,0,0,0,1,0
1000.0,1.0,0.0,0.0,0.0,71200.0,0.0,109620.0,0,0,1,0,0,0
0.0,1.0,0.0,0.0,1.0,0.0,1308.0,0.0,0,0,0,0,1,0
735.0,0.0,1.0,0.0,1.0,184785.0,1336.0,0.0,0,0,0,0,1,0
5000.0,0.0,1.0,0.0,1.0,326170.0,881.0,659994.0,0,0,0,0,0,1
1000.0,0.0,0.0,1.0,0.0,93981.0,0.0,605250.0,0,0,0,0,1,0
3000.0,0.0,0.0,1.0,1.0,113550.0,275.0,401016.0,0,1,0,0,0,0
36300.0,0.0,0.0,1.0,0.0,296300.0,0.0,500000.0,1,0,0,0,0,0
10.0,0.0,0.0,1.0,0.0,112883.0,0.0,119996.0,0,0,0,0,1,0
3000.0,0.0,0.0,1.0,1.0,3000.0,31.0,51200.0,0,0,0,0,1,0
3000.0,0.0,0.0,0.0,0.0,84300.0,0.0,115100.0,0,0,0,0,1,0
500.0,1.0,0.0,0.0,1.0,500.0,1477.0,0.0,0,0,0,1,0,0
10.0,0.0,1.0,0.0,1.0,290010.0,757.0,350000.0,0,0,0,1,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0
1000.0,0.0,1.0,0.0,0.0,79580.0,0.0,0.0,1,0,0,0,0,0
5000.0,1.0,0.0,0.0,0.0,85000.0,0.0,0.0,0,0,0,1,0,0
10.0,0.0,1.0,0.0,1.0,1010.0,123.0,62700.0,0,0,0,0,1,0
3000.0,0.0,1.0,0.0,1.0,14000.0,1003.0,38250.0,0,0,0,0,1,0
9800.0,0.0,0.0,0.0,0.0,70019.0,0.0,20000.0,0,0,0,0,0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0
1000.0,1.0,0.0,1.0,1.0,1203040.0,1337.0,0.0,1,0,0,0,0,0
1000.0,0.0,0.0,0.0,1.0,0.0,426.0,0.0,0,0,0,0,0,1
0.0,1.0,0.0,0.0,1.0,0.0,746.0,0.0,0,0,0,0,0,1
1000.0,0.0,1.0,0.0,1.0,377400.0,972.0,0.0,0,0,0,1,0,0
10000.0,0.0,1.0,0.0,0.0,316000.0,0.0,260000.0,0,0,0,0,0,1
0.0,0.0,0.0,0.0,1.0,0.0,549.0,111000.0,0,0,0,0,1,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,165000.0,0,0,0,0,1,0
0.0,0.0,0.0,0.0,1.0,542.0,1034.0,0.0,0,0,0,0,0,1
0.0,0.0,0.0,0.0,0.0,45200.0,0.0,0.0,0,0,0,0,0,1
10000.0,0.0,0.0,1.0,0.0,155718.0,0.0,300001.0,1,0,0,0,0,0
1000.0,0.0,1.0,0.0,1.0,309000.0,895.0,0.0,0,0,0,0,0,1
0.0,0.0,0.0,0.0,1.0,0.0,867.0,0.0,0,0,0,0,1,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,12000.0,0,0,0,1,0,0
6500.0,0.0,0.0,0.0,0.0,108000.0,0.0,0.0,0,0,0,0,1,0
1000.0,0.0,0.0,1.0,1.0,1000.0,237.0,79310.0,0,0,0,0,1,0
1000.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0,0,0,0,0,1
5000.0,0.0,1.0,0.0,0.0,707300.0,0.0,0.0,0,0,0,0,0,1
600.0,0.0,0.0,1.0,0.0,8100.0,0.0,28800.0,0,0,0,0,0,1
0.0,0.0,1.0,0.0,0.0,72481.0,0.0,0.0,0,0,0,0,0,1
16540.0,0.0,0.0,0.0,0.0,27200.0,0.0,0.0,0,0,0,0,0,1
