capital,university,venture,enterprise,accelerator,procurement_before,timedelta,procurement_after,energy_and_semiconductor,finance,ecology,bio,computer,service,lgbm_pred,nn_pred
500000.0,0.0,1.0,0.0,0.0,1182000.0,,0.0,0,0,0,0,0,1,0.2571319992794279,6.2394653e-30
10000.0,0.0,0.0,1.0,0.0,224200.0,,120000.0,0,0,0,0,1,0,0.5673374742781818,1.1506332e-07
240.0,0.0,0.0,1.0,0.0,17660.0,,60660.0,0,0,0,1,0,0,0.609066158933236,0.28297356
3000.0,1.0,0.0,0.0,0.0,13050.0,,0.0,0,0,0,0,1,0,0.8748847239805598,0.3605727
3000.0,0.0,1.0,0.0,1.0,10000.0,359.0,40026.0,0,0,0,0,0,1,0.8465420748011595,0.41807735
1000.0,0.0,0.0,1.0,0.0,1000.0,,0.0,1,0,0,0,0,0,0.4991538499744042,0.5607509
1000.0,0.0,1.0,0.0,1.0,9324.0,513.0,46417.0,0,0,0,0,0,1,0.894610015706682,0.40339804
10000.0,0.0,0.0,1.0,1.0,76000.0,101.0,0.0,0,0,0,0,1,0,0.48118334696741927,0.0056521893
2000.0,0.0,0.0,1.0,0.0,118213.0,,100200.0,0,0,0,0,0,1,0.7608923408631589,0.00035861135
11500.0,1.0,0.0,0.0,0.0,417900.0,,0.0,0,0,0,1,0,0,0.3849094390329777,1.9559884e-13
10000.0,0.0,1.0,0.0,0.0,10000.0,,0.0,0,0,0,0,0,1,0.150490472584522,0.466473
10300.0,0.0,0.0,0.0,0.0,10300.0,,0.0,0,0,0,0,0,1,0.24785591578744245,0.4633382
10.0,0.0,0.0,1.0,1.0,40010.0,688.0,100264.0,0,0,0,0,0,1,0.5849818780065558,0.08185431
9000.0,0.0,1.0,0.0,0.0,31300.0,,0.0,0,0,0,0,1,0,0.5474434351861729,0.15728474
5000.0,0.0,1.0,0.0,0.0,9000.0,,20000.0,0,0,0,0,0,1,0.16536522257620848,0.45084822
5000.0,0.0,0.0,1.0,1.0,5000.0,365.0,100000.0,0,1,0,0,0,0,0.5359813155577116,0.51892465
1000.0,0.0,0.0,1.0,1.0,1000.0,1370.0,80000.0,0,0,0,0,1,0,0.689265438197354,0.5607321
4000.0,0.0,1.0,0.0,1.0,14000.0,196.0,49800.0,0,0,0,0,1,0,0.8506854337256188,0.3563857
10000.0,0.0,1.0,0.0,0.0,10000.0,,0.0,1,0,0,0,0,0,0.150490472584522,0.46647763
5000.0,0.0,0.0,0.0,0.0,5000.0,,0.0,0,0,0,0,1,0,0.17181111805006377,0.51890516
5000.0,0.0,0.0,0.0,0.0,5000.0,,0.0,0,0,0,0,0,1,0.13893528864609947,0.5189191
1.0,0.0,0.0,0.0,0.0,1.0,,0.0,0,0,0,0,0,1,0.6906858024832445,0.5593524
1550.0,0.0,0.0,0.0,0.0,1550.0,,0.0,0,0,0,0,0,1,0.45866389323527007,0.55502903
3000.0,0.0,0.0,0.0,0.0,3000.0,,0.0,0,0,0,1,0,0,0.2680103373527028,0.5398994
1000.0,0.0,0.0,0.0,0.0,1000.0,,0.0,0,0,0,0,1,0,0.610619422084379,0.5607493
5000.0,1.0,0.0,0.0,1.0,35400.0,260.0,130000.0,0,0,0,1,0,0,0.33867445437259835,0.09685749
3070.0,1.0,0.0,1.0,1.0,5770.0,179.0,100990.0,0,0,0,0,1,0,0.744219550716361,0.49313703
8000.0,0.0,0.0,1.0,0.0,26000.0,,95000.0,0,0,0,1,0,0,0.44817309665613164,0.21160549
3000.0,0.0,1.0,0.0,1.0,3000.0,80.0,32993.0,0,0,0,0,1,0,0.7635955163676568,0.53988767
10000.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,0,1,0.0771976937890012,0.52676255
10000.0,0.0,0.0,0.0,0.0,10000.0,,0.0,0,0,0,0,0,1,0.1617277854288445,0.4664722
3000.0,0.0,0.0,1.0,1.0,3000.0,2.0,15000.0,0,0,0,0,1,0,0.7845206423134599,0.5398913
5000.0,0.0,1.0,0.0,0.0,5000.0,,60000.0,0,0,0,0,1,0,0.30864161894738545,0.5189064
100.0,0.0,1.0,0.0,1.0,100.0,388.0,60954.0,0,0,0,1,0,0,0.8596793834620577,0.5606066
100.0,0.0,1.0,0.0,1.0,7600.0,749.0,49948.0,1,0,0,0,0,0,0.7472926162742515,0.44213247
2000.0,0.0,1.0,0.0,1.0,392200.0,703.0,227600.0,0,0,0,0,1,0,0.9412581578932789,3.1077925e-12
1000.0,0.0,0.0,1.0,0.0,737880.0,,2549409.0,0,1,0,0,0,0,0.6301725438551142,2.3705934e-22
2000.0,0.0,0.0,0.0,1.0,2000.0,79.0,1491.0,0,0,0,1,0,0,0.45866389323527007,0.55034184
4500.0,0.0,0.0,0.0,0.0,5000.0,,203000.0,0,0,0,0,0,1,0.13893528864609947,0.51556057
1000.0,0.0,0.0,1.0,1.0,1000.0,59.0,20000.0,0,0,0,0,1,0,0.689265438197354,0.5607321
10000.0,0.0,0.0,1.0,1.0,10000.0,49.0,60000.0,0,0,0,0,1,0,0.5797180005547642,0.46646357
1000.0,0.0,0.0,0.0,0.0,1000.0,,0.0,0,0,0,0,0,1,0.43951955559965006,0.56076294
3000.0,0.0,1.0,0.0,0.0,57960.0,,62375.0,0,0,0,1,0,0,0.7500548603561819,0.018748581
1000.0,0.0,0.0,1.0,0.0,15500.0,,0.0,0,0,0,0,1,0,0.8446300526974341,0.29619294
1000.0,0.0,1.0,0.0,1.0,1000.0,348.0,0.0,0,0,0,0,1,0,0.8084358781155331,0.5607562
1000.0,0.0,0.0,1.0,0.0,1000.0,,1090431.0,0,0,0,1,0,0,0.4991538499744042,0.560745
30.0,1.0,0.0,0.0,0.0,2000.0,,49500.0,1,0,0,0,0,0,0.39206598485333766,0.53851724
200.0,0.0,1.0,0.0,1.0,57703.0,331.0,0.0,0,0,0,0,1,0,0.9177408506948564,0.025615752
1000.0,0.0,0.0,0.0,1.0,41400.0,294.0,30115.0,1,0,0,0,0,0,0.6249596895729707,0.06786725
300.0,0.0,1.0,0.0,1.0,34050.0,543.0,1500765.0,0,0,0,0,1,0,0.9278660541503321,0.11440775
5000.0,0.0,0.0,1.0,0.0,5000.0,,100000.0,0,0,0,0,1,0,0.5752854309822358,0.51891005
5000.0,0.0,1.0,0.0,1.0,219990.0,1034.0,998799.0,0,0,0,0,1,0,0.7940201448242481,2.6284485e-07
3000.0,0.0,1.0,0.0,1.0,6000.0,974.0,7000.0,0,0,0,0,1,0,0.8261777369829209,0.4888398
1000.0,0.0,0.0,1.0,0.0,861420.0,,0.0,1,0,0,0,0,0,0.6301725438551142,5.529263e-26
3200.0,0.0,0.0,1.0,0.0,18200.0,,0.0,0,0,0,0,0,1,0.667596490915843,0.27478385
33000.0,0.0,0.0,1.0,0.0,599500.0,,0.0,1,0,0,0,0,0,0.22705711416970323,8.695096e-20
5000.0,0.0,0.0,1.0,0.0,5000.0,,0.0,0,0,0,0,1,0,0.5752854309822358,0.51891005
1000.0,0.0,0.0,1.0,0.0,141000.0,,33600.0,0,1,0,0,0,0,0.6301725438551142,8.531594e-05
6000.0,0.0,0.0,1.0,0.0,54000.0,,0.0,0,0,0,0,0,1,0.6735220310856684,0.025277227
100.0,1.0,1.0,0.0,0.0,110100.0,,744900.0,0,0,0,1,0,0,0.825530375208021,0.00076523423
1000.0,1.0,0.0,0.0,1.0,675711.0,936.0,0.0,0,0,0,1,0,0,0.6624185706052345,1.5947152e-20
1100.0,1.0,0.0,0.0,0.0,130800.0,,35100.0,0,0,0,1,0,0,0.6978927206981864,0.00016847253
5010.0,1.0,0.0,1.0,1.0,10020.0,1008.0,0.0,0,0,0,1,0,0,0.7097229268962537,0.4337077
10000.0,1.0,0.0,1.0,0.0,0.0,,0.0,0,0,0,1,0,0,0.4050271168715918,0.5267628
1500.0,0.0,1.0,0.0,1.0,31582.0,488.0,4000.0,0,0,0,0,1,0,0.9517210251928206,0.11832103
1000.0,0.0,0.0,0.0,0.0,26200.0,,70740.0,0,0,0,0,1,0,0.8084754136693666,0.16938412
3580.0,0.0,0.0,1.0,0.0,3580.0,,0.0,0,0,0,0,0,1,0.47276239451777696,0.5338319
2000.0,0.0,0.0,1.0,0.0,2000.0,,0.0,0,0,0,0,0,1,0.6206433407753678,0.5503477
1000.0,0.0,1.0,0.0,0.0,1000.0,,0.0,0,0,0,0,0,1,0.6826961399286381,0.5607698
5000.0,0.0,0.0,1.0,1.0,111000.0,597.0,0.0,0,0,0,0,0,1,0.7901764552916873,0.00042286515
2000.0,0.0,0.0,1.0,1.0,2000.0,153.0,20000.0,0,0,0,0,0,1,0.6206433407753678,0.5503477
1000.0,0.0,0.0,1.0,1.0,1000.0,1403.0,0.0,0,0,0,0,1,0,0.689265438197354,0.5607321
10000.0,0.0,0.0,0.0,0.0,10000.0,,0.0,0,0,1,0,0,0,0.1617277854288445,0.46647856
1500.0,0.0,0.0,1.0,1.0,13000.0,1009.0,0.0,0,0,0,0,1,0,0.9172452072654629,0.3418795
1000.0,0.0,0.0,1.0,0.0,0.0,,0.0,0,0,0,1,0,0,0.5649595694981554,0.55953646
2000.0,0.0,0.0,1.0,1.0,2000.0,633.0,60000.0,0,0,0,0,1,0,0.8160039709692737,0.5503338
2000.0,0.0,1.0,0.0,0.0,341998.0,,650001.0,0,0,0,0,0,1,0.8691832489698886,9.327985e-11
1000.0,0.0,1.0,0.0,0.0,63000.0,769.0,375000.0,0,0,0,0,0,1,0.6044468445011975,0.016569108
5000.0,1.0,0.0,0.0,0.0,82000.0,,0.0,1,0,0,0,0,0,0.14445810460978697,0.0030098557
1000.0,1.0,1.0,0.0,0.0,32500.0,,84350.0,0,0,0,0,1,0,0.9278660541503321,0.11744812
3000.0,0.0,0.0,0.0,1.0,191840.0,1105.0,0.0,0,0,0,0,1,0,0.87782764607943,2.1959322e-06
2000.0,0.0,0.0,1.0,0.0,9000.0,,0.0,0,0,0,0,0,1,0.5830570458685568,0.4234131
10.0,1.0,1.0,0.0,0.0,80273.0,,574145.0,0,0,0,0,0,1,0.41682305355774113,0.0058050454
7000.0,1.0,0.0,1.0,1.0,458796.0,906.0,273218.0,0,0,0,1,0,0,0.8344507810833076,1.9900551e-14
1000.0,0.0,0.0,1.0,0.0,1000.0,,0.0,0,0,0,0,0,1,0.4991538499744042,0.5607459
10000.0,0.0,0.0,1.0,0.0,14600.0,,3525.0,0,0,0,0,1,0,0.5419336614266661,0.38953424
1000.0,0.0,0.0,0.0,0.0,2685405.0,,977490.0,1,0,0,0,0,0,0.6624185706052345,0.0
