capital,university,venture,enterprise,accelerator,procurement_before,procurement_after,energy_and_semiconductor,finance,ecology,bio,computer,service,lgbm_pred
,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0.3613409877969113
,0.0,0.0,1.0,1.0,0.0,0.0,0,0,0,0,1,0,0.5070850671635384
,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0.10502666257520672
,1.0,1.0,0.0,1.0,0.0,0.0,0,0,0,1,0,0,0.5772978356839239
500000.0,0.0,1.0,0.0,0.0,1182000.0,0.0,0,0,0,0,0,1,0.2823606374953429
10000.0,0.0,0.0,1.0,0.0,224200.0,120000.0,0,0,0,0,1,0,0.5033341601635903
,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0.3613409877969113
240.0,0.0,0.0,1.0,0.0,17660.0,60660.0,0,0,0,1,0,0,0.3894704532569104
3000.0,1.0,0.0,0.0,0.0,13050.0,0.0,0,0,0,0,1,0,0.8015676592182513
3000.0,0.0,1.0,0.0,1.0,10000.0,40026.0,0,0,0,0,0,1,0.8072175467771757
1000.0,0.0,0.0,1.0,0.0,1000.0,0.0,1,0,0,0,0,0,0.5619984920072213
1000.0,0.0,1.0,0.0,1.0,9324.0,46417.0,0,0,0,0,0,1,0.8654868862636638
10000.0,0.0,0.0,1.0,1.0,76000.0,0.0,0,0,0,0,1,0,0.48075240957239507
2000.0,0.0,0.0,1.0,0.0,118213.0,100200.0,0,0,0,0,0,1,0.7511016827414626
11500.0,1.0,0.0,0.0,0.0,417900.0,0.0,0,0,0,1,0,0,0.5326666618998239
10000.0,0.0,1.0,0.0,0.0,10000.0,0.0,0,0,0,0,0,1,0.24914847955725292
,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0.10502666257520672
,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0.3613409877969113
,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0.10502666257520672
,0.0,0.0,1.0,0.0,0.0,0.0,0,1,0,0,0,0,0.25019712817598383
,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0.3613409877969113
,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0.5088021900677155
,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0.5088021900677155
10300.0,0.0,0.0,0.0,0.0,10300.0,0.0,0,0,0,0,0,1,0.7352087864408455
10.0,0.0,0.0,1.0,1.0,40010.0,100264.0,0,0,0,0,0,1,0.61586617051223
9000.0,0.0,1.0,0.0,0.0,31300.0,0.0,0,0,0,0,1,0,0.7147579923564882
5000.0,0.0,1.0,0.0,0.0,9000.0,20000.0,0,0,0,0,0,1,0.3164880423634472
,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0.5088021900677155
5000.0,0.0,0.0,1.0,1.0,5000.0,100000.0,0,1,0,0,0,0,0.5360584404940407
1000.0,0.0,0.0,1.0,1.0,1000.0,80000.0,0,0,0,0,1,0,0.760804513662885
,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0.5088021900677155
4000.0,0.0,1.0,0.0,1.0,14000.0,49800.0,0,0,0,0,1,0,0.7542715648259047
,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0.10502666257520672
,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,1,0.25019712817598383
10000.0,0.0,1.0,0.0,0.0,10000.0,0.0,1,0,0,0,0,0,0.24914847955725292
,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0.10502666257520672
,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0.3613409877969113
,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0.10502666257520672
,0.0,0.0,0.0,0.0,30000.0,0.0,0,0,0,0,0,1,0.20204726211969076
,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0.3613409877969113
