capital,university,venture,enterprise,procurement_before,procurement_after,energy_and_semiconductor,finance,ecology,bio,computer,service,accelerator,lgbm_pred
500000.0,0.0,1.0,0.0,1182000.0,0.0,0,0,0,0,0,1,0.0,0.08511673972114661
10000.0,0.0,0.0,1.0,224200.0,120000.0,0,0,0,0,1,0,0.0,0.29705891451874855
240.0,0.0,0.0,1.0,17660.0,60660.0,0,0,0,1,0,0,0.0,0.4527162502199078
3000.0,1.0,0.0,0.0,13050.0,0.0,0,0,0,0,1,0,0.0,0.7271501633433088
1000.0,0.0,0.0,1.0,1000.0,0.0,1,0,0,0,0,0,0.0,0.45883638447490416
2000.0,0.0,0.0,1.0,118213.0,100200.0,0,0,0,0,0,1,0.0,0.383075971635033
11500.0,1.0,0.0,0.0,417900.0,0.0,0,0,0,1,0,0,0.0,0.142091007490769
10000.0,0.0,1.0,0.0,10000.0,0.0,0,0,0,0,0,1,0.0,0.1854250047789359
10300.0,0.0,0.0,0.0,10300.0,0.0,0,0,0,0,0,1,0.0,0.19067530385313652
9000.0,0.0,1.0,0.0,31300.0,0.0,0,0,0,0,1,0,0.0,0.18712091859553226
5000.0,0.0,1.0,0.0,9000.0,20000.0,0,0,0,0,0,1,0.0,0.10157299642336165
10000.0,0.0,1.0,0.0,10000.0,0.0,1,0,0,0,0,0,0.0,0.1854250047789359
5000.0,0.0,0.0,0.0,5000.0,0.0,0,0,0,0,1,0,0.0,0.19475392432167946
5000.0,0.0,0.0,0.0,5000.0,0.0,0,0,0,0,0,1,0.0,0.0684353207995758
1.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,1,0.0,0.3480677271878565
1550.0,0.0,0.0,0.0,1550.0,0.0,0,0,0,0,0,1,0.0,0.455322532377976
3000.0,0.0,0.0,0.0,3000.0,0.0,0,0,0,1,0,0,0.0,0.4169973197461243
1000.0,0.0,0.0,0.0,1000.0,0.0,0,0,0,0,1,0,0.0,0.6654972896280329
8000.0,0.0,0.0,1.0,26000.0,95000.0,0,0,0,1,0,0,0.0,0.18041968731716676
10000.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0.0,0.04307216592781306
10000.0,0.0,0.0,0.0,10000.0,0.0,0,0,0,0,0,1,0.0,0.1783932846704754
5000.0,0.0,1.0,0.0,5000.0,60000.0,0,0,0,0,1,0,0.0,0.202271766077228
1000.0,0.0,0.0,1.0,737880.0,2549409.0,0,1,0,0,0,0,0.0,0.383075971635033
4500.0,0.0,0.0,0.0,5000.0,203000.0,0,0,0,0,0,1,0.0,0.0684353207995758
1000.0,0.0,0.0,0.0,1000.0,0.0,0,0,0,0,0,1,0.0,0.3766772122218155
3000.0,0.0,1.0,0.0,57960.0,62375.0,0,0,0,1,0,0,0.0,0.4022902815141091
1000.0,0.0,0.0,1.0,15500.0,0.0,0,0,0,0,1,0,0.0,0.7572587080967516
1000.0,0.0,0.0,1.0,1000.0,1090431.0,0,0,0,1,0,0,0.0,0.45883638447490416
30.0,1.0,0.0,0.0,2000.0,49500.0,1,0,0,0,0,0,0.0,0.455322532377976
5000.0,0.0,0.0,1.0,5000.0,100000.0,0,0,0,0,1,0,0.0,0.5254399001906556
1000.0,0.0,0.0,1.0,861420.0,0.0,1,0,0,0,0,0,0.0,0.383075971635033
3200.0,0.0,0.0,1.0,18200.0,0.0,0,0,0,0,0,1,0.0,0.27580230967863084
33000.0,0.0,0.0,1.0,599500.0,0.0,1,0,0,0,0,0,0.0,0.1479317529282311
5000.0,0.0,0.0,1.0,5000.0,0.0,0,0,0,0,1,0,0.0,0.5254399001906556
1000.0,0.0,0.0,1.0,141000.0,33600.0,0,1,0,0,0,0,0.0,0.383075971635033
6000.0,0.0,0.0,1.0,54000.0,0.0,0,0,0,0,0,1,0.0,0.1699878209916198
100.0,1.0,1.0,0.0,110100.0,744900.0,0,0,0,1,0,0,0.0,0.4045827828810685
1100.0,1.0,0.0,0.0,130800.0,35100.0,0,0,0,1,0,0,0.0,0.3932523953464226
10000.0,1.0,0.0,1.0,0.0,0.0,0,0,0,1,0,0,0.0,0.15545375154370594
1000.0,0.0,0.0,0.0,26200.0,70740.0,0,0,0,0,1,0,0.0,0.7586889378516075
3580.0,0.0,0.0,1.0,3580.0,0.0,0,0,0,0,0,1,0.0,0.34613562530301856
2000.0,0.0,0.0,1.0,2000.0,0.0,0,0,0,0,0,1,0.0,0.5397807711787324
1000.0,0.0,1.0,0.0,1000.0,0.0,0,0,0,0,0,1,0.0,0.38783529636220865
10000.0,0.0,0.0,0.0,10000.0,0.0,0,0,1,0,0,0,0.0,0.1783932846704754
1000.0,0.0,0.0,1.0,0.0,0.0,0,0,0,1,0,0,0.0,0.42827424018410193
2000.0,0.0,1.0,0.0,341998.0,650001.0,0,0,0,0,0,1,0.0,0.4045827828810685
1000.0,0.0,1.0,0.0,63000.0,375000.0,0,0,0,0,0,1,0.0,0.4045827828810685
5000.0,1.0,0.0,0.0,82000.0,0.0,1,0,0,0,0,0,0.0,0.06833099426113487
1000.0,1.0,1.0,0.0,32500.0,84350.0,0,0,0,0,1,0,0.0,0.759829528538968
2000.0,0.0,0.0,1.0,9000.0,0.0,0,0,0,0,0,1,0.0,0.6320936330247464
10.0,1.0,1.0,0.0,80273.0,574145.0,0,0,0,0,0,1,0.0,0.4045827828810685
1000.0,0.0,0.0,1.0,1000.0,0.0,0,0,0,0,0,1,0.0,0.45883638447490416
10000.0,0.0,0.0,1.0,14600.0,3525.0,0,0,0,0,1,0,0.0,0.4462126895723128
1000.0,0.0,0.0,0.0,2685405.0,977490.0,1,0,0,0,0,0,0.0,0.3932523953464226
9000.0,0.0,0.0,1.0,9000.0,0.0,0,0,0,0,1,0,0.0,0.5325432297490642
1000.0,1.0,0.0,0.0,71200.0,109620.0,0,0,1,0,0,0,0.0,0.3932523953464226
1000.0,0.0,0.0,1.0,93981.0,605250.0,0,0,0,0,1,0,0.0,0.6233838972301002
36300.0,0.0,0.0,1.0,296300.0,500000.0,1,0,0,0,0,0,0.0,0.1479317529282311
10.0,0.0,0.0,1.0,112883.0,119996.0,0,0,0,0,1,0,0.0,0.6233838972301002
3000.0,0.0,0.0,0.0,84300.0,115100.0,0,0,0,0,1,0,0.0,0.6294677629429488
1000.0,0.0,1.0,0.0,79580.0,0.0,1,0,0,0,0,0,0.0,0.4045827828810685
5000.0,1.0,0.0,0.0,85000.0,0.0,0,0,0,1,0,0,0.0,0.06833099426113487
9800.0,0.0,0.0,0.0,70019.0,20000.0,0,0,0,0,0,1,0.0,0.05372311371136112
10000.0,0.0,1.0,0.0,316000.0,260000.0,0,0,0,0,0,1,0.0,0.05617671427552824
10000.0,0.0,0.0,1.0,155718.0,300001.0,1,0,0,0,0,0,0.0,0.13683957414894532
6500.0,0.0,0.0,0.0,108000.0,0.0,0,0,0,0,1,0,0.0,0.11950775866657001
1000.0,0.0,0.0,0.0,1000.0,0.0,0,0,0,0,0,1,0.0,0.3766772122218155
5000.0,0.0,1.0,0.0,707300.0,0.0,0,0,0,0,0,1,0.0,0.07140141405516943
600.0,0.0,0.0,1.0,8100.0,28800.0,0,0,0,0,0,1,0.0,0.6320936330247464
16540.0,0.0,0.0,0.0,27200.0,0.0,0,0,0,0,0,1,0.0,0.13264344018631066
200.0,0.0,0.0,0.0,5200.0,0.0,0,0,0,0,1,0,0.0,0.7620376459049361
1000.0,0.0,1.0,0.0,20500.0,357999.0,0,0,0,1,0,0,0.0,0.4425857140636899
1000.0,0.0,0.0,1.0,21225.0,4500.0,0,0,0,1,0,0,0.0,0.4527162502199078
11600.0,0.0,0.0,1.0,11600.0,77000.0,0,0,0,0,1,0,0.0,0.47363884235930453
1000.0,0.0,0.0,0.0,101000.0,1121340.0,0,1,0,0,0,0,0.0,0.3932523953464226
9000.0,0.0,1.0,0.0,23500.0,545000.0,0,0,0,0,0,1,0.0,0.06759512560835969
3000.0,0.0,0.0,1.0,36852.0,660447.0,0,0,0,0,0,1,0.0,0.4380201816412577
400.0,0.0,1.0,0.0,189400.0,91800.0,0,0,0,0,0,1,0.0,0.4045827828810685
149500.0,0.0,0.0,1.0,159670.0,59750.0,0,0,0,0,1,0,0.0,0.36535249015140797
560.0,0.0,1.0,0.0,259000.0,110360.0,0,0,0,0,1,0,0.0,0.6426110044745152
215000.0,0.0,0.0,1.0,255491.0,0.0,0,0,0,0,0,1,0.0,0.36360334389376914
388000.0,0.0,1.0,0.0,347727.0,0.0,0,0,0,0,0,1,0.0,0.08511673972114661
275000.0,0.0,1.0,1.0,250000.0,0.0,0,1,0,0,0,0,0.0,0.36360334389376914
379000.0,1.0,0.0,0.0,706171.0,0.0,0,0,0,1,0,0,0.0,0.08150829951553182
3000.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0.0,0.3459094185859491
7000.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0.0,0.09934260797410001
3000.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,1,0,0.0,0.6033560987286749
10000.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0.0,0.1099190039552812
30000.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0.0,0.06584802894592849
1000.0,0.0,1.0,1.0,0.0,0.0,0,0,0,0,1,0,0.0,0.674303549076608
81000.0,0.0,1.0,1.0,0.0,0.0,0,1,0,0,0,0,0.0,0.613311644521115
86000.0,0.0,1.0,1.0,16000.0,30000.0,0,0,0,0,1,0,0.0,0.5443892537604725
50000.0,1.0,0.0,0.0,100000.0,0.0,0,0,1,0,0,0,0.0,0.049840838243188114
150000.0,1.0,0.0,0.0,180000.0,0.0,0,0,0,1,0,0,0.0,0.08150829951553182
2000.0,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0.0,0.3480677271878565
23000.0,0.0,1.0,1.0,37330.0,0.0,0,0,1,0,0,0,0.0,0.37930788917616953
89000.0,0.0,0.0,0.0,67994.0,39990.0,0,0,0,1,0,0,0.0,0.08150829951553182
60000.0,0.0,0.0,1.0,9000.0,0.0,0,0,0,0,1,0,0.0,0.5825451334288072
378000.0,0.0,0.0,1.0,99500.0,0.0,0,1,0,0,0,0,0.0,0.36360334389376914
58000.0,0.0,0.0,0.0,10000.0,96000.0,0,0,0,0,0,1,0.0,0.19315679979416753
98000.0,0.0,0.0,1.0,26982.0,82974.0,0,0,0,0,0,1,0.0,0.4887344269438829
154000.0,1.0,0.0,0.0,217000.0,0.0,1,0,0,0,0,0,0.0,0.08150829951553182
468000.0,0.0,1.0,1.0,250866.0,685000.0,0,0,0,0,0,1,0.0,0.36360334389376914
8000.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,1,0,0.0,0.312421527291946
1280000.0,0.0,1.0,0.0,402999.0,399996.0,0,0,0,1,0,0,0.0,0.08511673972114661
60000.0,1.0,1.0,0.0,38000.0,77580.0,1,0,0,0,0,0,0.0,0.07019244241354072
2000.0,0.0,0.0,0.0,2000.0,0.0,1,0,0,0,0,0,0.0,0.455322532377976
166000.0,0.0,0.0,0.0,1000.0,40280.0,0,0,0,1,0,0,0.0,0.15994371791534945
91000.0,0.0,0.0,1.0,11600.0,1050.0,0,0,0,1,0,0,0.0,0.5152488070581728
200000.0,0.0,0.0,0.0,127453.0,0.0,0,0,0,0,1,0,0.0,0.08152502507603747
102000.0,0.0,0.0,1.0,582500.0,0.0,1,0,0,0,0,0,0.0,0.36360334389376914
100000.0,0.0,0.0,0.0,50000.0,0.0,1,0,0,0,0,0,0.0,0.08150829951553182
150000.0,0.0,1.0,0.0,300008.0,0.0,0,0,0,0,1,0,0.0,0.08513413710409264
30000.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,1,0.0,0.32521601582423126
30000.0,0.0,0.0,0.0,50000.0,0.0,0,0,0,1,0,0,0.0,0.03585346625191492
10000.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0.0,0.04307216592781306
100000.0,0.0,0.0,1.0,22150.0,80000.0,0,0,0,1,0,0,0.0,0.42235802424923147
33000.0,0.0,0.0,0.0,33060.0,0.0,0,0,0,0,0,1,0.0,0.04977391177854112
4000.0,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0.0,0.10895133886510205
10000.0,1.0,0.0,1.0,0.0,0.0,0,0,1,0,0,0,0.0,0.15545375154370594
6000.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0.0,0.13623211257873782
1000.0,0.0,0.0,1.0,0.0,2328.0,0,0,0,0,0,1,0.0,0.42827424018410193
100000.0,0.0,0.0,0.0,10000.0,0.0,0,0,1,0,0,0,0.0,0.26978135465355785
38000.0,0.0,0.0,0.0,1000.0,22300.0,0,0,0,0,0,1,0.0,0.07388956174543347
63000.0,0.0,0.0,1.0,3000.0,0.0,0,0,0,0,1,0,0.0,0.5826907662977515
153000.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0.0,0.14853602260822177
20000.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0.0,0.09127802361530381
10000.0,0.0,1.0,1.0,5000.0,0.0,0,0,0,0,1,0,0.0,0.5056792452554771
13000.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,1,0,0.0,0.3949858936788289
61000.0,0.0,1.0,0.0,9900.0,102000.0,0,0,0,0,1,0,0.0,0.17467158793753956
27000.0,1.0,0.0,0.0,0.0,24650.0,0,0,0,1,0,0,0.0,0.13977863663269807
37000.0,0.0,0.0,1.0,7000.0,30000.0,0,0,0,0,0,1,0.0,0.3577675523901094
25000.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,1,0.0,0.4776286577664474
23000.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,1,0,0.0,0.14396450751150514
16000.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0.0,0.0891157415299214
52000.0,0.0,0.0,1.0,0.0,99992.0,0,0,0,0,1,0,0.0,0.49480024056317407
2000.0,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0.0,0.3480677271878565
100000.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,1,0,0.0,0.15461232948446824
58000.0,0.0,1.0,0.0,0.0,29400.0,0,0,0,0,1,0,0.0,0.10595237864301103
23000.0,0.0,1.0,0.0,3000.0,32400.0,0,0,0,0,1,0,0.0,0.1733044652347895
75000.0,0.0,0.0,0.0,30035.0,0.0,0,0,0,0,1,0,0.0,0.13518023069634363
5000.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0.0,0.05116434445321268
90000.0,0.0,0.0,0.0,90000.0,0.0,0,0,0,0,0,1,0.0,0.08150829951553182
155000.0,1.0,0.0,0.0,0.0,50000.0,1,0,0,0,0,0,0.0,0.14399290714897955
58000.0,0.0,1.0,0.0,11162.0,50100.0,0,0,0,1,0,0,0.0,0.08538050467766238
100000.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0.0,0.14399290714897955
29000.0,0.0,0.0,1.0,1200.0,29610.0,0,0,0,0,1,0,0.0,0.630776915722143
10000.0,0.0,0.0,1.0,20000.0,0.0,0,0,0,0,1,0,0.0,0.3734891665237335
202000.0,0.0,1.0,0.0,75000.0,40690.0,0,0,0,0,0,1,0.0,0.08511673972114661
104000.0,0.0,0.0,1.0,84000.0,20000.0,0,0,0,0,0,1,0.0,0.36360334389376914
5000.0,0.0,0.0,1.0,10200.0,0.0,0,0,0,0,0,1,0.0,0.23389811132253327
106000.0,0.0,0.0,1.0,108780.0,0.0,0,0,0,0,1,0,0.0,0.36535249015140797
9000.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,1,0.0,0.14119100742107718
4000.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0.0,0.10895133886510205
1000.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0.0,0.3480677271878565
90000.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0.0,0.14399290714897955
500.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,1,0,0.0,0.6056334105222602
10000.0,0.0,0.0,1.0,10000.0,0.0,1,0,0,0,0,0,0.0,0.43427803033712514
15000.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0.0,0.0891157415299214
12000.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,1,0.0,0.09903319723802392
15000.0,0.0,0.0,0.0,15000.0,0.0,0,0,0,0,1,0,0.0,0.15129653842308202
