capital,university,venture,enterprise,procurement_before,procurement_after,energy_and_semiconductor,finance,ecology,bio,computer,service,accelerator,lgbm_pred
500000.0,0.0,1.0,0.0,1182000.0,0.0,0,0,0,0,0,1,0.0,0.35350968328472365
10000.0,0.0,0.0,1.0,224200.0,120000.0,0,0,0,0,1,0,0.0,0.3020465300805642
240.0,0.0,0.0,1.0,17660.0,60660.0,0,0,0,1,0,0,0.0,0.5693269330424807
3000.0,1.0,0.0,0.0,13050.0,0.0,0,0,0,0,1,0,0.0,0.632277476936042
1000.0,0.0,0.0,1.0,1000.0,0.0,1,0,0,0,0,0,0.0,0.18543280910260074
2000.0,0.0,0.0,1.0,118213.0,100200.0,0,0,0,0,0,1,0.0,0.7424549585396183
11500.0,1.0,0.0,0.0,417900.0,0.0,0,0,0,1,0,0,0.0,0.20476781155285909
10000.0,0.0,1.0,0.0,10000.0,0.0,0,0,0,0,0,1,0.0,0.09283395817082403
10300.0,0.0,0.0,0.0,10300.0,0.0,0,0,0,0,0,1,0.0,0.14039325870905997
9000.0,0.0,1.0,0.0,31300.0,0.0,0,0,0,0,1,0,0.0,0.5933044027984993
5000.0,0.0,1.0,0.0,9000.0,20000.0,0,0,0,0,0,1,0.0,0.44410705459849137
10000.0,0.0,1.0,0.0,10000.0,0.0,1,0,0,0,0,0,0.0,0.09283395817082403
5000.0,0.0,0.0,0.0,5000.0,0.0,0,0,0,0,1,0,0.0,0.12847377683750358
5000.0,0.0,0.0,0.0,5000.0,0.0,0,0,0,0,0,1,0.0,0.053071241215675066
1.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,1,0.0,0.24278130329025738
1550.0,0.0,0.0,0.0,1550.0,0.0,0,0,0,0,0,1,0.0,0.10926865067565668
3000.0,0.0,0.0,0.0,3000.0,0.0,0,0,0,1,0,0,0.0,0.060896191935922044
1000.0,0.0,0.0,0.0,1000.0,0.0,0,0,0,0,1,0,0.0,0.2194458251934323
8000.0,0.0,0.0,1.0,26000.0,95000.0,0,0,0,1,0,0,0.0,0.22484017646584495
10000.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0.0,0.12549782491900338
10000.0,0.0,0.0,0.0,10000.0,0.0,0,0,0,0,0,1,0.0,0.04641671583307664
5000.0,0.0,1.0,0.0,5000.0,60000.0,0,0,0,0,1,0,0.0,0.18217879247132393
1000.0,0.0,0.0,1.0,737880.0,2549409.0,0,1,0,0,0,0,0.0,0.7481652861567712
