"coefficients","std.error","statistic","p.value"
"(Intercept)",-8.3990476430739,5.71122000701428,-1.4706223246099,0.145220268653368
"accelerator",-7.88348234784707,2.80281100147458,-2.81270565289615,0.00614591905369003
"capital",1.25370369660316,0.604602593817829,2.07359959984047,0.0412550796458166
"university",-3.61896773529553,4.15048525809345,-0.871938462674584,0.385787844465234
"venture",6.89563838839659,3.85822858903087,1.78725501335023,0.0775913213867385
"enterprise",3.76942315649944,3.06632613913864,1.22929622794734,0.222476573483149
"procurement_before",0.513787778925776,0.0996882866852942,5.15394331680864,1.73008610818514e-06
"deeptech",-3.21922185019473,3.91954377972461,-0.821325651941287,0.413842349091582
"deeptech_acc",NA,NA,NA,NA
"N","90"
"R-squared","0.294874123658035"
"Adj R-squared","0.23468045128738"
"coefficients","std.error","statistic","p.value"
"(Intercept)",-8.3990476430739,5.71122000701428,-1.4706223246099,0.145220268653368
"accelerator",-7.88348234784707,2.80281100147458,-2.81270565289615,0.00614591905369003
"capital",1.25370369660316,0.604602593817829,2.07359959984047,0.0412550796458166
"university",-3.61896773529553,4.15048525809345,-0.871938462674584,0.385787844465234
"venture",6.89563838839659,3.85822858903087,1.78725501335023,0.0775913213867385
"enterprise",3.76942315649944,3.06632613913864,1.22929622794734,0.222476573483149
"procurement_before",0.513787778925776,0.0996882866852942,5.15394331680864,1.73008610818514e-06
"deeptech",-3.21922185019473,3.91954377972461,-0.821325651941287,0.413842349091582
"deeptech_acc",NA,NA,NA,NA
"N","90"
"R-squared","0.294874123658035"
"Adj R-squared","0.23468045128738"
"coefficients","std.error","statistic","p.value"
"(Intercept)",-8.39904764307387,5.71122000701429,-1.47062232460989,0.14522026865337
"accelerator",-7.88348234784711,2.80281100147459,-2.81270565289615,0.00614591905369007
"capital",1.25370369660316,0.604602593817833,2.07359959984046,0.0412550796458176
"university",-3.61896773529553,4.15048525809345,-0.871938462674585,0.385787844465234
"venture",6.89563838839659,3.85822858903087,1.78725501335022,0.0775913213867386
"enterprise",3.76942315649945,3.06632613913864,1.22929622794734,0.222476573483149
"procurement_before",0.513787778925776,0.0996882866852943,5.15394331680864,1.73008610818515e-06
"deeptech",-0.52566569589793,5.83411838264252,-0.090101993381189,0.928425886929163
"deeptech_acc",-2.6935561542968,5.473408549828,-0.492116773263974,0.623951740469511
"N","91"
"R-squared","0.300530862829817"
"Adj R-squared","0.23228997139858"
"coefficients","std.error","statistic","p.value"
"(Intercept)",0.815844037743937,5.9383069700231,0.137386639300118,0.89099339751836
"accelerator",-10.361195558003,2.47275131391337,-4.19014864119326,5.90034736421112e-05
"capital",0.576855202989985,0.592334149388411,0.97386788113701,0.332403748359688
"university",-3.83348231776476,4.53323196468799,-0.84564000863534,0.39971381702501
"venture",8.03406269348881,3.47823167517747,2.30981241152629,0.0228935287020662
"enterprise",5.97398643199655,3.0383693032923,1.96618180203548,0.051968984303297
"deeptech",-2.07084082677072,3.8888392715081,-0.532508721032238,0.595520626221734
"deeptech_acc",NA,NA,NA,NA
"N","110"
"R-squared","0.0940239795823388"
"Adj R-squared","0.0412486774220867"
"coefficients","std.error","statistic","p.value"
"(Intercept)",-17.5277838100913,2.32509095832657,-7.53853682468684,1.89452165518e-13
"accelerator",9.47064800489129,1.52190082190386,6.22290747766584,9.491702557024e-10
"capital",0.596585448606783,0.24795031778223,2.4060684976849,0.0164442438080858
"university",0.611755841661881,1.8486833082208,0.330914353443611,0.740831432449762
"venture",6.35292104385038,1.31071062798009,4.84692876385745,1.62098755966403e-06
"enterprise",3.00341269162955,1.17399082048702,2.55829316483379,0.0107774544009528
"deeptech",4.68261850122614,1.58090425561755,2.96198740979223,0.00318468377157242
"deeptech_acc",-8.28606802929155,3.6717416114413,-2.25671327292525,0.0244059057076682
"N","575"
"R-squared","0.125041668197753"
"Adj R-squared","0.114239713484145"
