"coefficients","std.error","statistic","p.value"
"(Intercept)",-12.610417206022,2.75718387720479,-4.57365840206726,5.89616584274232e-06
"accelerator",7.4647023730715,1.3364707929982,5.58538384241486,3.63040383902631e-08
"capital",0.470080356440035,0.23894120308868,1.9673474074941,0.0496328373931115
"university",1.54614957620907,1.79506287804912,0.861334494248711,0.389419877472399
"venture",4.86819778905997,1.30301418412701,3.7361049851668,0.000205911546654005
"enterprise",2.40608877288561,1.14432263334603,2.10263146316536,0.0359405856326914
"procurement_before",0.319444472638259,0.0380943896153561,8.38560417593591,4.05350469865978e-16
"energy_and_semiconductor",-5.30457698357363,2.37391520596067,-2.23452673046382,0.0258393744504963
"finance",-2.57012097897483,2.91233895174005,-0.882493769291259,0.377885814795907
"computer",-3.73533060872746,1.67298165934448,-2.23273852876013,0.0259578538978852
"service",-3.49353502974734,1.69326150511134,-2.06319875530249,0.0395508359467848
"N","575"
"R-squared","0.197042101544106"
"Adj R-squared","0.182805259372902"
