"coefficients","std.error","statistic","p.value"
"(Intercept)",-17.8697492617381,2.4983072938002,-7.15274270146179,2.64314284858044e-12
"acc_shortTrue",7.31130896012912,2.17108982565157,3.36757552531706,0.000809837435786241
"capital",0.577593161581116,0.220736009084104,2.61666940513111,0.00911644070219099
"university",1.86366852049389,1.42478815970907,1.30803201008804,0.191393428133008
"venture",2.47526758327742,1.11109528503557,2.22777255615677,0.0262879595638629
"enterprise",0.454418323803661,0.921788056781747,0.492974844336971,0.622221557559149
"procurement_before",0.230064975186762,0.0275884574818839,8.33917500961536,5.71518364571933e-16
"energy_and_semiconductor",-0.944808200917575,1.85552064142981,-0.509187653223591,0.610819141969206
"finance",-2.45969547171051,2.25420798128494,-1.09115728989143,0.275667953826967
"computer",0.306506461518529,1.37779538100768,0.222461524943101,0.824034872483153
"service",-0.881963655353416,1.38465519747906,-0.636955436240835,0.524411404995248
"N","577"
"R-squared","0.132174716656173"
"Adj R-squared","0.116842114476953"
"coefficients","std.error","statistic","p.value"
"(Intercept)",-17.8697492617381,2.4983072938002,-7.15274270146179,2.64314284858044e-12
"acc_shortTrue",7.31130896012912,2.17108982565157,3.36757552531706,0.000809837435786241
"capital",0.577593161581116,0.220736009084104,2.61666940513111,0.00911644070219099
"university",1.86366852049389,1.42478815970907,1.30803201008804,0.191393428133008
"venture",2.47526758327742,1.11109528503557,2.22777255615677,0.0262879595638629
"enterprise",0.454418323803661,0.921788056781747,0.492974844336971,0.622221557559149
"procurement_before",0.230064975186762,0.0275884574818839,8.33917500961536,5.71518364571933e-16
"energy_and_semiconductor",-0.944808200917575,1.85552064142981,-0.509187653223591,0.610819141969206
"finance",-2.45969547171051,2.25420798128494,-1.09115728989143,0.275667953826967
"computer",0.306506461518529,1.37779538100768,0.222461524943101,0.824034872483153
"service",-0.881963655353416,1.38465519747906,-0.636955436240835,0.524411404995248
"N","577"
"R-squared","0.132174716656173"
"Adj R-squared","0.116842114476953"
